image_id,filename,width,height,format,file_size,sha1,raw_id,source_title,source_url,author,license,genus,group,orig_width,orig_height
1,tree_0001.jpg,512,512,JPEG,119400,8fd8a166beb846cd7cbc9f161eb7be8b488fe316,3,File:20110714Populus alba1.jpg,https://commons.wikimedia.org/wiki/File:20110714Populus_alba1.jpg,AnRo0002,CC0,Populus,broadleaf,1500,1125
2,tree_0002.jpg,512,512,JPEG,98333,fa8d0c735ddd4fe1fdc24a8b3a2f4b798de15f26,4,File:20110716Populus alba.jpg,https://commons.wikimedia.org/wiki/File:20110716Populus_alba.jpg,AnRo0002,CC0,Populus,broadleaf,1500,1125
3,tree_0003.jpg,512,512,JPEG,116055,b448c1b301dd953fa6f509a557aaf137ec3fddad,5,File:20110802Walnussbaum Plankstadt1.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt1.jpg,AnRo0002,CC0,Juglans,broadleaf,1500,1125
4,tree_0004.jpg,512,512,JPEG,159107,58361010f9da5b2faaeeb40935a983df2d61a131,6,File:20110802Walnussbaum Plankstadt2.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt2.jpg,AnRo0002,CC0,Juglans,broadleaf,1750,1313
5,tree_0005.jpg,512,512,JPEG,101987,c018acbf020ca11de495f375e1b79d51c79f8258,7,File:20110802Walnussbaum Plankstadt4.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt4.jpg,AnRo0002,CC0,Juglans,broadleaf,1500,1125
6,tree_0006.jpg,512,512,JPEG,111636,69608e644814c39e355783131808c20b05755e35,8,File:20111028Populus alba1.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba1.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
7,tree_0007.jpg,512,512,JPEG,112291,8ce82aac2f80def4231feffed20cd2192acb30ec,9,File:20111028Populus alba2.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba2.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
8,tree_0008.jpg,512,512,JPEG,126503,caedaf7f419d07a41eb4d486dde67dde9aac1138,10,File:20111028Populus alba3.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba3.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
9,tree_0009.jpg,512,512,JPEG,123217,519ab5fa05c59c597236f831e7012e49183c0a8e,11,File:20111028Populus × canadensis.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_%C3%97_canadensis.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
10,tree_0010.jpg,512,512,JPEG,111450,da1e62b9597db5879fdaa3eff4de0690f05a1cb8,13,"File:2012-04-22 19-34-32 Switzerland Kanton Schaffhausen Dörflingen, Hinterdorf.jpg","https://commons.wikimedia.org/wiki/File:2012-04-22_19-34-32_Switzerland_Kanton_Schaffhausen_D%C3%B6rflingen,_Hinterdorf.jpg",Hansueli Krapf  This   file was uploaded  with Commonist.,CC BY-SA 3.0,Juglans,broadleaf,2125,3200
11,tree_0011.jpg,512,512,JPEG,84948,c6c5eb255a65059fa2cee4a3190dc59b9762d1fb,14,File:20120212Kriegbach08.jpg,https://commons.wikimedia.org/wiki/File:20120212Kriegbach08.jpg,AnRo0002,CC0,Populus,broadleaf,1750,1313
12,tree_0012.jpg,512,512,JPEG,77585,b7806dd87ec7c5724127b267f23fd43b382f33b8,15,File:20120212Kriegbach09.jpg,https://commons.wikimedia.org/wiki/File:20120212Kriegbach09.jpg,AnRo0002,CC0,Populus,broadleaf,1313,1750
13,tree_0013.jpg,512,512,JPEG,93599,9ecb9d521d6cdf2bb5e4e0656da0edc5d96f9710,16,File:20120212Kriegbach10.jpg,https://commons.wikimedia.org/wiki/File:20120212Kriegbach10.jpg,AnRo0002,CC0,Populus,broadleaf,1750,1313
14,tree_0014.jpg,512,512,JPEG,107727,07b9ad5d03be5c9f3179ff57d067c42b1d8e51eb,17,File:20120212Kriegbach11.jpg,https://commons.wikimedia.org/wiki/File:20120212Kriegbach11.jpg,AnRo0002,CC0,Populus,broadleaf,1750,1313
15,tree_0015.jpg,512,512,JPEG,91867,fd10679cc86a3271fe0863cb13c0a8546fab1f17,18,File:20120212Kriegbach12.jpg,https://commons.wikimedia.org/wiki/File:20120212Kriegbach12.jpg,AnRo0002,CC0,Populus,broadleaf,1750,1313
16,tree_0016.jpg,512,512,JPEG,83190,19a8065b3f24bbe3cc23cfbb2abfe3d0c242a9d7,20,File:20120902Populus x canadensis1.jpg,https://commons.wikimedia.org/wiki/File:20120902Populus_x_canadensis1.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
17,tree_0017.jpg,512,512,JPEG,110886,9ea4bf423655d24c7d4bd614a855f0b8bbc1bd53,21,File:20120903Populus x canadensis03.jpg,https://commons.wikimedia.org/wiki/File:20120903Populus_x_canadensis03.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
18,tree_0018.jpg,512,512,JPEG,130890,cdedb2663c4cc100722cb17904620f00ed5d0b53,22,File:20120903Populus x canadensis04.jpg,https://commons.wikimedia.org/wiki/File:20120903Populus_x_canadensis04.jpg,AnRo0002,CC0,Populus,broadleaf,2750,2063
19,tree_0019.jpg,512,512,JPEG,115742,fb186f6a07c23ea124782c31ea835211e028ae71,23,File:20120903Populus x canadensis06.jpg,https://commons.wikimedia.org/wiki/File:20120903Populus_x_canadensis06.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
20,tree_0020.jpg,512,512,JPEG,115286,07dc996246b021ac4c1c39cde9a4fa85b92c1810,24,File:20120903Populus x canadensis07.jpg,https://commons.wikimedia.org/wiki/File:20120903Populus_x_canadensis07.jpg,AnRo0002,CC0,Populus,broadleaf,2750,2063
21,tree_0021.jpg,512,512,JPEG,101994,bfe42917efa15541b3e38851370d68e2021834c8,25,File:20120904Alnus glutinosa01.jpg,https://commons.wikimedia.org/wiki/File:20120904Alnus_glutinosa01.jpg,AnRo0002,CC0,Alnus,broadleaf,1500,2000
22,tree_0022.jpg,512,512,JPEG,131073,c16db25c0807f7db4267dd7ab4b4277874b04336,26,File:20120904Alnus glutinosa02.jpg,https://commons.wikimedia.org/wiki/File:20120904Alnus_glutinosa02.jpg,AnRo0002,CC0,Alnus,broadleaf,2750,2063
23,tree_0023.jpg,512,512,JPEG,137674,717ce9079bd2ec93645f24ebebae0ebe4efe13ec,27,File:20120904Alnus glutinosa08.jpg,https://commons.wikimedia.org/wiki/File:20120904Alnus_glutinosa08.jpg,AnRo0002,CC0,Alnus,broadleaf,2250,3000
24,tree_0024.jpg,512,512,JPEG,101044,d0fec300c6eb8d625868a639f73d0fdd46600245,30,File:20120920Populus x canadensis01.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis01.jpg,AnRo0002,CC0,Populus,broadleaf,2716,2000
25,tree_0025.jpg,512,512,JPEG,92421,eaa2428b17c57366fb4baf06495cf658b66e9318,32,File:20120920Populus x canadensis03.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis03.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
26,tree_0026.jpg,512,512,JPEG,96055,055f6a519a2f04d71fbb532186143c3b5e843c3c,33,File:20120920Populus x canadensis06.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis06.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
27,tree_0027.jpg,512,512,JPEG,113306,1753cf9afca435e38b74d9df4ac89e7565e90b65,34,File:20120920Populus x canadensis07.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis07.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
28,tree_0028.jpg,512,512,JPEG,155037,95119ad59f9dc988b422684d4dc3c6db4236d245,35,File:20120920Populus x canadensis08.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis08.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
29,tree_0029.jpg,512,512,JPEG,105545,27a61189829c5e34ebb5d5e113019d6570ee50af,36,File:20120920Populus x canadensis2.jpg,https://commons.wikimedia.org/wiki/File:20120920Populus_x_canadensis2.jpg,AnRo0002,CC0,Populus,broadleaf,2063,2750
30,tree_0030.jpg,512,512,JPEG,118506,67b8a9063c44fe39d112bc18db2f6c808af8ad7a,39,File:20121021Populus x canadensis3.jpg,https://commons.wikimedia.org/wiki/File:20121021Populus_x_canadensis3.jpg,AnRo0002,CC0,Populus,broadleaf,1875,2500
31,tree_0031.jpg,512,512,JPEG,111198,f1e949bb67f4f8c1e2c6eba1813e4e4eae8ce87b,40,File:20121021Populus x canadensis4.jpg,https://commons.wikimedia.org/wiki/File:20121021Populus_x_canadensis4.jpg,AnRo0002,CC0,Populus,broadleaf,1875,2500
32,tree_0032.jpg,512,512,JPEG,116215,cd9473e3895ec1cd112f14d8ffa19c893ee195a4,41,File:20121022Populus x canadensis.jpg,https://commons.wikimedia.org/wiki/File:20121022Populus_x_canadensis.jpg,AnRo0002,CC0,Populus,broadleaf,2750,2063
33,tree_0033.jpg,512,512,JPEG,62959,86588b0df118ba8f95035414f6cb272ef3c01049,43,File:20130107Populus x canadensis2.jpg,https://commons.wikimedia.org/wiki/File:20130107Populus_x_canadensis2.jpg,AnRo0002,CC0,Populus,broadleaf,2000,1500
34,tree_0034.jpg,512,512,JPEG,93834,1921bb1f40bbf29a7f99adb5203e206e0586eeb0,45,File:20130116Alnus glutinosa10.jpg,https://commons.wikimedia.org/wiki/File:20130116Alnus_glutinosa10.jpg,AnRo0002,CC0,Alnus,broadleaf,1500,2000
35,tree_0035.jpg,512,512,JPEG,137848,af940fe549ca8a7ad18b9776f3d89fc356b085bf,46,File:20130314Alnus glutinosa1.jpg,https://commons.wikimedia.org/wiki/File:20130314Alnus_glutinosa1.jpg,AnRo0002,CC0,Alnus,broadleaf,1500,2000
36,tree_0036.jpg,512,512,JPEG,103538,626f515178a013bba26073e99d565ba865e223f3,47,File:20130314Birke Hockenheim.jpg,https://commons.wikimedia.org/wiki/File:20130314Birke_Hockenheim.jpg,AnRo0002,CC0,Betula,broadleaf,1500,2000
37,tree_0037.jpg,512,512,JPEG,89532,d7ba97e816ae091d269843cacaf11924e44734e1,48,File:20130407Betula pendula5.jpg,https://commons.wikimedia.org/wiki/File:20130407Betula_pendula5.jpg,AnRo0002,CC0,Betula,broadleaf,1500,2000
38,tree_0038.jpg,512,512,JPEG,126471,503a2b976a1ab731224e3be2ce0a92c0f8200212,49,File:20130425Quercus robur01.jpg,https://commons.wikimedia.org/wiki/File:20130425Quercus_robur01.jpg,AnRo0002,CC0,Quercus,broadleaf,2000,1500
39,tree_0039.jpg,512,512,JPEG,134185,9b3fa97b3e6ffb6e52b708f5b828e8c66c46e408,50,File:20130425Quercus robur06.jpg,https://commons.wikimedia.org/wiki/File:20130425Quercus_robur06.jpg,AnRo0002,CC0,Quercus,broadleaf,2250,1688
40,tree_0040.jpg,512,512,JPEG,111632,08df040dff3d2d7ffe9f9d0bd17477c51bc5703c,53,File:20130820Walnuss Hockenheim4.jpg,https://commons.wikimedia.org/wiki/File:20130820Walnuss_Hockenheim4.jpg,AnRo0002,CC0,Juglans,broadleaf,3648,2736
41,tree_0041.jpg,512,512,JPEG,120007,37e68bc181c3c2bea671577ad44e90505439f7ac,54,File:20130820Walnuss Hockenheim5.jpg,https://commons.wikimedia.org/wiki/File:20130820Walnuss_Hockenheim5.jpg,AnRo0002,CC0,Juglans,broadleaf,3648,2736
42,tree_0042.jpg,512,512,JPEG,130564,8ccc98d2f3789ac4286da833ec08b46d0557c5ce,55,File:20130820Walnuss Reilingen1.jpg,https://commons.wikimedia.org/wiki/File:20130820Walnuss_Reilingen1.jpg,AnRo0002,CC0,Juglans,broadleaf,3648,2736
43,tree_0043.jpg,512,512,JPEG,115989,37f196292120f6b5a7b7788342002dc4a0d6ecb5,56,File:20130820Walnuss Reilingen2.jpg,https://commons.wikimedia.org/wiki/File:20130820Walnuss_Reilingen2.jpg,AnRo0002,CC0,Juglans,broadleaf,3648,2736
