source_title,reviewed_as,reason
"File:Dülmen, Hausdülmen, Heubach -- 2020 -- 7984.jpg",query_07.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
"File:Samburu National Reserve landscape with solitary acacia and distant mountain, Kenya.jpg",query_10.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20110117Alte Kriegbachbruecke Neulussheim1.jpg,tree_0001.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
"File:2012-04-22 19-33-46 Switzerland Kanton Schaffhausen Dörflingen, Hinterdorf.JPG",tree_0011.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120731Verbascum thapsus1.jpg,tree_0018.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120904Alnus glutinosa11.jpg,tree_0027.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120907Birke Silz1.jpg,tree_0028.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120920Populus x canadensis02.jpg,tree_0030.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120924Betula pendula1.jpg,tree_0036.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20120924Betula pendula2.jpg,tree_0037.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20130107Populus x canadensis1.jpg,tree_0041.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20130425Schwarzpappeln Hockenheim1.jpg,tree_0049.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20130425Schwarzpappeln Hockenheim2.jpg,tree_0050.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20131126Populus x canadensis Ketschau.jpg,tree_0061.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:2013LangeDuinen02.jpg,tree_0065.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:2013LangeDuinen03.jpg,tree_0066.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20141017Kali tragus1.jpg,tree_0073.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20150627Gewann Frankreich-Wiesental1.jpg,tree_0080.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20150627Gewann Frankreich-Wiesental4.jpg,tree_0082.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20150628Gewann Frankreich-Wiesental1.jpg,tree_0083.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
File:20150731Pinus sylvestris1.jpg,tree_0086.jpg,kiem duyet thu cong: khong dat tieu chi (tan bi cat / cay qua nho / nhieu cay / can canh / vat the khac)
