image_id,filename,width,height,format,file_size,sha1,raw_id,source_title,source_url,author,license,genus,group,orig_width,orig_height
1,query_01.jpg,512,512,JPEG,143404,c9c4e68d676947a61d79b00b708d1662a4dd0794,1,File:05 - шманаево Поле.jpg,https://commons.wikimedia.org/wiki/File:05_-_%D1%88%D0%BC%D0%B0%D0%BD%D0%B0%D0%B5%D0%B2%D0%BE_%D0%9F%D0%BE%D0%BB%D0%B5.jpg,Егоров Михаил Андреевич,CC BY-SA 3.0,Betula,broadleaf,2592,3718
2,query_02.jpg,512,512,JPEG,96010,ee8bbd3a9006c547ae87abdd8c1434cf54510501,44,File:20130116Alnus glutinosa09.jpg,https://commons.wikimedia.org/wiki/File:20130116Alnus_glutinosa09.jpg,AnRo0002,CC0,Alnus,broadleaf,2000,1500
3,query_03.jpg,512,512,JPEG,87927,866830c3ed566cdad916bf312d6d83f4655607b1,90,File:20150827Populus alba.jpg,https://commons.wikimedia.org/wiki/File:20150827Populus_alba.jpg,AnRo0002,CC0,Populus,broadleaf,2500,1875
4,query_04.jpg,512,512,JPEG,84865,7dc6ef5e1d562a92fbe67b56df26b15f5a59266d,150,File:Birke bei Ebersburg im Herbst.jpg,https://commons.wikimedia.org/wiki/File:Birke_bei_Ebersburg_im_Herbst.jpg,Jörg Braukmann,CC BY-SA 4.0,Betula,broadleaf,7360,4912
5,query_05.jpg,512,512,JPEG,117942,9ca386bf70fe2da9e57b582a2c3dd5a8fdeefd17,195,File:Pinus sylvestris TK 2023-05-06 4.jpg,https://commons.wikimedia.org/wiki/File:Pinus_sylvestris_TK_2023-05-06_4.jpg,T. Kebert,CC BY-SA 4.0,Pinus,conifer,4071,6106
6,query_06.jpg,512,512,JPEG,118489,483ff39b43939ee332f2c84e5733df8997154ea4,233,File:Walnut-tree 20041012 2599.JPG,https://commons.wikimedia.org/wiki/File:Walnut-tree_20041012_2599.JPG,Georg Slickers,CC BY-SA 4.0,Juglans,broadleaf,1077,1533
7,query_07.jpg,512,512,JPEG,132546,0e33e6abbcc7001f427bea7b9bbdc5a1c82afb12,323,"File:Dülmen, Wildpark, Herzteich -- 2020 -- 3398.jpg","https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Wildpark,_Herzteich_--_2020_--_3398.jpg",Dietmar Rabich,CC BY-SA 4.0,Quercus,broadleaf,5899,4424
8,query_08.jpg,512,512,JPEG,78910,a7e5def591017cfeaf3c0167141ccdec20651756,490,File:Arbol1.JPG,https://commons.wikimedia.org/wiki/File:Arbol1.JPG,Alejandro Vera Temiño,CC BY-SA 3.0,Populus,broadleaf,2272,1704
9,query_09.jpg,512,512,JPEG,94781,d858c72218eb8b3c9bb42037bc08d5951a441b69,749,File:Kameldornbaum Sossusvlei.jpg,https://commons.wikimedia.org/wiki/File:Kameldornbaum_Sossusvlei.jpg,Hp.Baumeler,CC BY-SA 4.0,Vachellia,broadleaf,5472,3648
10,query_10.jpg,512,512,JPEG,140627,be607c2fe6ea74bf333015d34ea3b0e471b2b798,989,"File:Saman de la Plaza Bolívar, La Pica.jpg","https://commons.wikimedia.org/wiki/File:Saman_de_la_Plaza_Bol%C3%ADvar,_La_Pica.jpg",Jacqueline Campo,CC BY-SA 3.0,Samanea,broadleaf,2592,1944
