raw_id,raw_file,commons_title,page_url,download_url,orig_width,orig_height,author,license,genus,group,categories
1,00001.jpg,File:05 - шманаево Поле.jpg,https://commons.wikimedia.org/wiki/File:05_-_%D1%88%D0%BC%D0%B0%D0%BD%D0%B0%D0%B5%D0%B2%D0%BE_%D0%9F%D0%BE%D0%BB%D0%B5.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/05_-_%D1%88%D0%BC%D0%B0%D0%BD%D0%B0%D0%B5%D0%B2%D0%BE_%D0%9F%D0%BE%D0%BB%D0%B5.jpg/1280px-05_-_%D1%88%D0%BC%D0%B0%D0%BD%D0%B0%D0%B5%D0%B2%D0%BE_%D0%9F%D0%BE%D0%BB%D0%B5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2592,3718,Егоров Михаил Андреевич,CC BY-SA 3.0,Betula,broadleaf,Category:CC-BY-SA-3.0|Category:Moscow Oblast photographs taken on 2013-07-02|Category:Self-published work|Category:Shubatovo railway platform|Category:Solitary Betula pendula
2,00002.jpg,File:20110117Alte Kriegbachbruecke Neulussheim1.jpg,https://commons.wikimedia.org/wiki/File:20110117Alte_Kriegbachbruecke_Neulussheim1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/20110117Alte_Kriegbachbruecke_Neulussheim1.jpg/1280px-20110117Alte_Kriegbachbruecke_Neulussheim1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2608,1952,AnRo0002,CC0,Populus,broadleaf,Category:Alte Kriegbachbrücke (Neulußheim)|Category:Altlußheim photographs taken on 2011-01-17|Category:Bare trees in Altlußheim|Category:CC-Zero|Category:Populus x canadensis in Altlußheim|Category:Populus x canadensis in January|Category:Self-published work|Category:Solitary Populus × canadensis|Category:Taken with HP PhotoSmart C945|Category:Trees in Altlußheim in January
3,00003.jpg,File:20110714Populus alba1.jpg,https://commons.wikimedia.org/wiki/File:20110714Populus_alba1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/20110714Populus_alba1.jpg/1280px-20110714Populus_alba1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1500,1125,AnRo0002,CC0,Populus,broadleaf,Category:CC-Zero|Category:Hockenheim photographs taken on 2011-07-14|Category:Phragmites reedbeds in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Populus alba in Hockenheimer Rheinbogen|Category:Populus alba in July|Category:Populus in Hockenheimer Rheinbogen in July 2011|Category:Populus in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Self-published work|Category:Solitary Populus alba|Category:Taken with Olympus FE-47 / X-43
4,00004.jpg,File:20110716Populus alba.jpg,https://commons.wikimedia.org/wiki/File:20110716Populus_alba.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/20110716Populus_alba.jpg/1280px-20110716Populus_alba.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1500,1125,AnRo0002,CC0,Populus,broadleaf,Category:CC-Zero|Category:Hockenheim photographs taken on 2011-07-16|Category:Populus alba in Hockenheimer Rheinbogen|Category:Populus alba in July|Category:Populus in Hockenheimer Rheinbogen in July 2011|Category:Populus in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Self-published work|Category:Solitary Populus alba|Category:Taken with Olympus FE-47 / X-43
5,00005.jpg,File:20110802Walnussbaum Plankstadt1.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/20110802Walnussbaum_Plankstadt1.jpg/1280px-20110802Walnussbaum_Plankstadt1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1500,1125,AnRo0002,CC0,Juglans,broadleaf,Category:August 2011 in agriculture in Plankstadt|Category:CC-Zero|Category:Juglandaceae in August|Category:Juglans regia in Plankstadt|Category:Plankstadt photographs taken on 2011-08-02|Category:Self-published work|Category:Solitary Juglans regia|Category:Taken with Olympus FE-47 / X-43|Category:Trees in Rhein-Neckar-Kreis in August
6,00006.jpg,File:20110802Walnussbaum Plankstadt2.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/20110802Walnussbaum_Plankstadt2.jpg/1280px-20110802Walnussbaum_Plankstadt2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1750,1313,AnRo0002,CC0,Juglans,broadleaf,Category:August 2011 in agriculture in Plankstadt|Category:CC-Zero|Category:Juglandaceae in August|Category:Juglans regia in Plankstadt|Category:Plankstadt photographs taken on 2011-08-02|Category:Self-published work|Category:Solitary Juglans regia|Category:Taken with Olympus FE-47 / X-43|Category:Trees in Rhein-Neckar-Kreis in August
7,00007.jpg,File:20110802Walnussbaum Plankstadt4.jpg,https://commons.wikimedia.org/wiki/File:20110802Walnussbaum_Plankstadt4.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/20110802Walnussbaum_Plankstadt4.jpg/1280px-20110802Walnussbaum_Plankstadt4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1500,1125,AnRo0002,CC0,Juglans,broadleaf,Category:August 2011 in agriculture in Plankstadt|Category:CC-Zero|Category:Dirt roads in Rhein-Neckar-Kreis|Category:Juglandaceae in August|Category:Juglans regia in Plankstadt|Category:Plankstadt photographs taken on 2011-08-02|Category:Self-published work|Category:Solitary Juglans regia|Category:Taken with Olympus FE-47 / X-43|Category:Trees in Rhein-Neckar-Kreis in August
8,00008.jpg,File:20111028Populus alba1.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/20111028Populus_alba1.jpg/1280px-20111028Populus_alba1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2500,1875,AnRo0002,CC0,Populus,broadleaf,Category:CC-Zero|Category:Fields in Hockenheimer Rheinbogen in October|Category:Hockenheim photographs taken on 2011-10-28|Category:Mustard fields in Hockenheimer Rheinbogen|Category:Mustard fields in Rhein-Neckar-Kreis in October|Category:Populus alba in Hockenheimer Rheinbogen|Category:Populus alba in October|Category:Populus in Hockenheimer Rheinbogen in October 2011|Category:Populus in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Self-published work|Category:Solitary Populus alba|Category:Taken with Olympus FE-47 / X-43
9,00009.jpg,File:20111028Populus alba2.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba2.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/20111028Populus_alba2.jpg/1280px-20111028Populus_alba2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2500,1875,AnRo0002,CC0,Populus,broadleaf,Category:Autumn 2011 in Hockenheimer Rheinbogen|Category:CC-Zero|Category:Hockenheim photographs taken on 2011-10-28|Category:Populus alba in Hockenheimer Rheinbogen|Category:Populus alba in October|Category:Populus alba in autumn|Category:Populus in Hockenheimer Rheinbogen in October 2011|Category:Populus in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Populus x canadensis in Hockenheimer Rheinbogen|Category:Populus × canadensis in autumn|Category:Self-published work|Category:Solitary Populus alba|Category:Taken with Olympus FE-47 / X-43
10,00010.jpg,File:20111028Populus alba3.jpg,https://commons.wikimedia.org/wiki/File:20111028Populus_alba3.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/20111028Populus_alba3.jpg/1280px-20111028Populus_alba3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2500,1875,AnRo0002,CC0,Populus,broadleaf,Category:Autumn 2011 in Hockenheimer Rheinbogen|Category:CC-Zero|Category:Hockenheim photographs taken on 2011-10-28|Category:Kotlachgraben (Hockenheim)|Category:Populus alba|Category:Populus alba in Hockenheimer Rheinbogen|Category:Populus alba in October|Category:Populus alba in autumn|Category:Populus in Hockenheimer Rheinbogen in October 2011|Category:Populus in Naturschutzgebiet Bachwiesen/Leopoldswiesen (Hockenheim)|Category:Self-published work|Category:Solitary Populus alba|Category:Taken with Olympus FE-47 / X-43
