filename,fg_coverage,dx,dy,reason
tree_0011.jpg,0.0313,-0.167,-0.245,coverage
tree_0012.jpg,0.0351,-0.087,-0.252,coverage
tree_0092.jpg,0.0293,0.025,0.243,coverage
tree_0139.jpg,0.0452,0.276,-0.328,off-center
tree_0175.jpg,0.0212,0.050,-0.307,coverage
tree_0200.jpg,0.0357,0.096,0.341,coverage
tree_0255.jpg,0.0270,-0.325,-0.209,coverage
tree_0267.jpg,0.0300,-0.085,0.049,coverage
tree_0302.jpg,0.0276,0.301,-0.239,coverage
tree_0323.jpg,0.0249,0.237,0.224,coverage
tree_0348.jpg,0.0376,-0.085,-0.035,coverage
tree_0381.jpg,0.0362,-0.178,0.057,coverage
tree_0394.jpg,0.0262,0.187,0.245,coverage
tree_0438.jpg,0.0264,0.265,0.047,coverage
tree_0444.jpg,0.0222,-0.020,0.025,coverage
tree_0475.jpg,0.0397,0.253,-0.021,coverage
tree_0486.jpg,0.0562,0.019,-0.321,off-center
tree_0524.jpg,0.0269,-0.037,0.105,coverage
tree_0527.jpg,0.0217,-0.261,0.071,coverage
tree_0538.jpg,0.0252,0.001,0.133,coverage
tree_0545.jpg,0.0293,0.166,0.035,coverage
tree_0596.jpg,0.0375,-0.305,-0.117,coverage
tree_0600.jpg,0.0366,-0.011,-0.096,coverage
tree_0614.jpg,0.0824,0.316,-0.080,off-center
tree_0617.jpg,0.0397,-0.011,0.089,coverage
